"";"index";"rainfalls_values";"station"
"127";"chirps-v2.0.2020.07";34,9726295471191;"49.98546_2.42236"
"128";"chirps-v2.0.2020.08";41,0436096191406;"49.98546_2.42236"
"129";"chirps-v2.0.2020.09";38,8542671203613;"49.98546_2.42236"
"130";"chirps-v2.0.2020.10";102,587203979492;"49.98546_2.42236"
"131";"chirps-v2.0.2020.11";32,2182235717773;"49.98546_2.42236"
"132";"chirps-v2.0.2020.12";95,244758605957;"49.98546_2.42236"
"133";"chirps-v2.0.2021.01";99,3287124633789;"49.98546_2.42236"
"134";"chirps-v2.0.2021.02";56,2251281738281;"49.98546_2.42236"
"135";"chirps-v2.0.2021.03";37,5973129272461;"49.98546_2.42236"
"136";"chirps-v2.0.2021.04";25,0721702575684;"49.98546_2.42236"
"137";"chirps-v2.0.2021.05";74,1351699829102;"49.98546_2.42236"
"138";"chirps-v2.0.2021.06";111,522979736328;"49.98546_2.42236"
"139";"chirps-v2.0.2021.07";85,4438858032227;"49.98546_2.42236"
"140";"chirps-v2.0.2021.08";39,9664001464844;"49.98546_2.42236"
"141";"chirps-v2.0.2021.09";50,1545639038086;"49.98546_2.42236"
"142";"chirps-v2.0.2021.10";65,8430938720703;"49.98546_2.42236"
"143";"chirps-v2.0.2021.11";42,1152992248535;"49.98546_2.42236"
"144";"chirps-v2.0.2021.12";71,0824203491211;"49.98546_2.42236"
"145";"chirps-v2.0.2022.01";60,6236915588379;"49.98546_2.42236"
"146";"chirps-v2.0.2022.02";38,4342918395996;"49.98546_2.42236"
"147";"chirps-v2.0.2022.03";25,3732757568359;"49.98546_2.42236"
"148";"chirps-v2.0.2022.04";37,2153930664062;"49.98546_2.42236"
"149";"chirps-v2.0.2022.05";34,7701606750488;"49.98546_2.42236"
"150";"chirps-v2.0.2022.06";65,4533843994141;"49.98546_2.42236"
"151";"chirps-v2.0.2022.07";32,6694831848145;"49.98546_2.42236"
"152";"chirps-v2.0.2022.08";24,4834594726562;"49.98546_2.42236"
"153";"chirps-v2.0.2022.09";72,5105743408203;"49.98546_2.42236"
"154";"chirps-v2.0.2022.10";47,0254859924316;"49.98546_2.42236"
"155";"chirps-v2.0.2022.11";95,8096466064453;"49.98546_2.42236"
"156";"chirps-v2.0.2022.12";78,7711181640625;"49.98546_2.42236"
"157";"chirps-v2.0.2023.01";65,1426162719727;"49.98546_2.42236"
"158";"chirps-v2.0.2023.02";16,3538818359375;"49.98546_2.42236"
"159";"chirps-v2.0.2023.03";48,7177619934082;"49.98546_2.42236"
"160";"chirps-v2.0.2023.04";49,6868667602539;"49.98546_2.42236"
"161";"chirps-v2.0.2023.05";49,2616081237793;"49.98546_2.42236"
"162";"chirps-v2.0.2023.06";42,6428642272949;"49.98546_2.42236"
"163";"chirps-v2.0.2023.07";89,7567291259766;"49.98546_2.42236"
"164";"chirps-v2.0.2023.08";77,8627624511719;"49.98546_2.42236"
"165";"chirps-v2.0.2023.09";75,6185760498047;"49.98546_2.42236"
"166";"chirps-v2.0.2023.10";89,3641204833984;"49.98546_2.42236"
"167";"chirps-v2.0.2023.11";118,44051361084;"49.98546_2.42236"
"168";"chirps-v2.0.2023.12";62,1500587463379;"49.98546_2.42236"
"169";"chirps-v2.0.2010.01";79,5762329101562;"49.98626_1.25459"
"170";"chirps-v2.0.2010.02";81,4369277954102;"49.98626_1.25459"
"171";"chirps-v2.0.2010.03";66,9193954467773;"49.98626_1.25459"
"172";"chirps-v2.0.2010.04";24,8811912536621;"49.98626_1.25459"
"173";"chirps-v2.0.2010.05";28,3126087188721;"49.98626_1.25459"
"174";"chirps-v2.0.2010.06";54,1506042480469;"49.98626_1.25459"
"175";"chirps-v2.0.2010.07";27,6215381622314;"49.98626_1.25459"
"176";"chirps-v2.0.2010.08";78,5382537841797;"49.98626_1.25459"
"177";"chirps-v2.0.2010.09";110,356811523438;"49.98626_1.25459"
"178";"chirps-v2.0.2010.10";102,193511962891;"49.98626_1.25459"
"179";"chirps-v2.0.2010.11";107,828170776367;"49.98626_1.25459"
"180";"chirps-v2.0.2010.12";73,3506011962891;"49.98626_1.25459"
"181";"chirps-v2.0.2011.01";84,095085144043;"49.98626_1.25459"
"182";"chirps-v2.0.2011.02";42,9551544189453;"49.98626_1.25459"
"183";"chirps-v2.0.2011.03";34,4826850891113;"49.98626_1.25459"
"184";"chirps-v2.0.2011.04";24,3642616271973;"49.98626_1.25459"
"185";"chirps-v2.0.2011.05";16,3236694335938;"49.98626_1.25459"
"186";"chirps-v2.0.2011.06";76,0176467895508;"49.98626_1.25459"
"187";"chirps-v2.0.2011.07";51,1494941711426;"49.98626_1.25459"
"188";"chirps-v2.0.2011.08";129,509658813477;"49.98626_1.25459"
"189";"chirps-v2.0.2011.09";81,1666030883789;"49.98626_1.25459"
"190";"chirps-v2.0.2011.10";58,782829284668;"49.98626_1.25459"
"191";"chirps-v2.0.2011.11";46,6868782043457;"49.98626_1.25459"
"192";"chirps-v2.0.2011.12";173,892272949219;"49.98626_1.25459"
"193";"chirps-v2.0.2012.01";85,3135223388672;"49.98626_1.25459"
"194";"chirps-v2.0.2012.02";23,9610633850098;"49.98626_1.25459"
"195";"chirps-v2.0.2012.03";48,8077964782715;"49.98626_1.25459"
"196";"chirps-v2.0.2012.04";72,7431488037109;"49.98626_1.25459"
"197";"chirps-v2.0.2012.05";33,2598190307617;"49.98626_1.25459"
"198";"chirps-v2.0.2012.06";86,1048583984375;"49.98626_1.25459"
"199";"chirps-v2.0.2012.07";55,1423187255859;"49.98626_1.25459"
"200";"chirps-v2.0.2012.08";44,9858436584473;"49.98626_1.25459"
"201";"chirps-v2.0.2012.09";73,7459869384766;"49.98626_1.25459"
"202";"chirps-v2.0.2012.10";214,672836303711;"49.98626_1.25459"
"203";"chirps-v2.0.2012.11";104,541534423828;"49.98626_1.25459"
"204";"chirps-v2.0.2012.12";174,22346496582;"49.98626_1.25459"
"205";"chirps-v2.0.2013.01";66,4324340820312;"49.98626_1.25459"
"206";"chirps-v2.0.2013.02";67,7264022827148;"49.98626_1.25459"
"207";"chirps-v2.0.2013.03";40,5131607055664;"49.98626_1.25459"
"208";"chirps-v2.0.2013.04";30,6984176635742;"49.98626_1.25459"
"209";"chirps-v2.0.2013.05";41,1564979553223;"49.98626_1.25459"
"210";"chirps-v2.0.2013.06";36,9764137268066;"49.98626_1.25459"
"211";"chirps-v2.0.2013.07";34,7643852233887;"49.98626_1.25459"
"212";"chirps-v2.0.2013.08";39,2221984863281;"49.98626_1.25459"
"213";"chirps-v2.0.2013.09";31,8909187316895;"49.98626_1.25459"
"214";"chirps-v2.0.2013.10";118,257850646973;"49.98626_1.25459"
"215";"chirps-v2.0.2013.11";94,0222930908203;"49.98626_1.25459"
"216";"chirps-v2.0.2013.12";93,7608337402344;"49.98626_1.25459"
"217";"chirps-v2.0.2014.01";133,361968994141;"49.98626_1.25459"
"218";"chirps-v2.0.2014.02";77,9336166381836;"49.98626_1.25459"
"219";"chirps-v2.0.2014.03";74,7497787475586;"49.98626_1.25459"
"220";"chirps-v2.0.2014.04";65,2513122558594;"49.98626_1.25459"
"221";"chirps-v2.0.2014.05";62,73095703125;"49.98626_1.25459"
"222";"chirps-v2.0.2014.06";63,1812057495117;"49.98626_1.25459"
"223";"chirps-v2.0.2014.07";75,759651184082;"49.98626_1.25459"
"224";"chirps-v2.0.2014.08";113,008567810059;"49.98626_1.25459"
"225";"chirps-v2.0.2014.09";27,5743656158447;"49.98626_1.25459"
"226";"chirps-v2.0.2014.10";129,286590576172;"49.98626_1.25459"
"227";"chirps-v2.0.2014.11";68,1580963134766;"49.98626_1.25459"
"228";"chirps-v2.0.2014.12";100,309814453125;"49.98626_1.25459"
"229";"chirps-v2.0.2015.01";122,028945922852;"49.98626_1.25459"
"230";"chirps-v2.0.2015.02";51,5174255371094;"49.98626_1.25459"
"231";"chirps-v2.0.2015.03";37,6919822692871;"49.98626_1.25459"
"232";"chirps-v2.0.2015.04";53,0436744689941;"49.98626_1.25459"
"233";"chirps-v2.0.2015.05";33,1580123901367;"49.98626_1.25459"
"234";"chirps-v2.0.2015.06";24,2173309326172;"49.98626_1.25459"
"235";"chirps-v2.0.2015.07";45,115550994873;"49.98626_1.25459"
"236";"chirps-v2.0.2015.08";96,3247451782227;"49.98626_1.25459"
"237";"chirps-v2.0.2015.09";60,0151634216309;"49.98626_1.25459"
"238";"chirps-v2.0.2015.10";74,1105270385742;"49.98626_1.25459"
"239";"chirps-v2.0.2015.11";120,179016113281;"49.98626_1.25459"
"240";"chirps-v2.0.2015.12";64,2145690917969;"49.98626_1.25459"
"241";"chirps-v2.0.2016.01";142,286636352539;"49.98626_1.25459"
"242";"chirps-v2.0.2016.02";74,6184616088867;"49.98626_1.25459"
"243";"chirps-v2.0.2016.03";75,4999237060547;"49.98626_1.25459"
"244";"chirps-v2.0.2016.04";67,1429214477539;"49.98626_1.25459"
"245";"chirps-v2.0.2016.05";74,6706237792969;"49.98626_1.25459"
"246";"chirps-v2.0.2016.06";66,1385803222656;"49.98626_1.25459"
"247";"chirps-v2.0.2016.07";20,81201171875;"49.98626_1.25459"
"248";"chirps-v2.0.2016.08";33,0400466918945;"49.98626_1.25459"
"249";"chirps-v2.0.2016.09";52,4425506591797;"49.98626_1.25459"
"250";"chirps-v2.0.2016.10";46,7726860046387;"49.98626_1.25459"
"251";"chirps-v2.0.2016.11";102,697738647461;"49.98626_1.25459"
"252";"chirps-v2.0.2016.12";35,0094604492188;"49.98626_1.25459"
"253";"chirps-v2.0.2017.01";71,6651077270508;"49.98626_1.25459"
"254";"chirps-v2.0.2017.02";51,7439727783203;"49.98626_1.25459"
"255";"chirps-v2.0.2017.03";73,8545303344727;"49.98626_1.25459"
"256";"chirps-v2.0.2017.04";17,7253284454346;"49.98626_1.25459"
"257";"chirps-v2.0.2017.05";55,9815521240234;"49.98626_1.25459"
"258";"chirps-v2.0.2017.06";37,712158203125;"49.98626_1.25459"
"259";"chirps-v2.0.2017.07";33,7743759155273;"49.98626_1.25459"
"260";"chirps-v2.0.2017.08";56,0282402038574;"49.98626_1.25459"
"261";"chirps-v2.0.2017.09";88,3810272216797;"49.98626_1.25459"
"262";"chirps-v2.0.2017.10";40,5950469970703;"49.98626_1.25459"
"263";"chirps-v2.0.2017.11";123,722610473633;"49.98626_1.25459"
"264";"chirps-v2.0.2017.12";143,630813598633;"49.98626_1.25459"
"265";"chirps-v2.0.2018.01";130,361862182617;"49.98626_1.25459"
"266";"chirps-v2.0.2018.02";47,6366157531738;"49.98626_1.25459"
"267";"chirps-v2.0.2018.03";75,6205749511719;"49.98626_1.25459"
"268";"chirps-v2.0.2018.04";57,9867706298828;"49.98626_1.25459"
"269";"chirps-v2.0.2018.05";51,0231628417969;"49.98626_1.25459"
"270";"chirps-v2.0.2018.06";15,2497129440308;"49.98626_1.25459"
"271";"chirps-v2.0.2018.07";28,9634227752686;"49.98626_1.25459"
"272";"chirps-v2.0.2018.08";57,4221687316895;"49.98626_1.25459"
"273";"chirps-v2.0.2018.09";26,5762271881104;"49.98626_1.25459"
"274";"chirps-v2.0.2018.10";67,2351150512695;"49.98626_1.25459"
"275";"chirps-v2.0.2018.11";64,7811279296875;"49.98626_1.25459"
"276";"chirps-v2.0.2018.12";113,913055419922;"49.98626_1.25459"
